"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_to_cart","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_categories_and_products","",""
"","0","test_product_prices","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_content","",""
"","0","test_cart_is_empty_after_purchase","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_product_images","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_content","",""
"","14","test_site_functionality[firefox]","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_cross_browser","",""
"","0","test_filter_laptops","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_categories_and_products","",""
"","0","test_registration_form","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_delete_item_from_cart","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_back_to_the_home_page","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_categories_and_products","",""
"","0","test_logo","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_add_multiple_items_to_cart","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_login","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_page_load","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_perfomance","",""
"","0","test_invalid_password","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_open_card_products","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_categories_and_products","",""
"","0","test_log_in_button","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","1","test_site_functionality[safari]","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_cross_browser","",""
"","0","test_monitors_category","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_empty_field_country","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_filters_phones","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_categories_and_products","",""
"","0","test_about_us_page","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_categories_and_products","",""
"","0","test_page_products","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_perfomance","",""
"","0","test_sing_up_button","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_contact_us_page","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_categories_and_products","",""
"","0","test_page_products","tests","Mon Feb 10 21:38:54 CET 2025","broken","Mon Feb 10 21:38:54 CET 2025","","perfomance","",""
"","0","test_login_logout_flow","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_add_correct_item_to_cart","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_laptops_category","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_order_placement_with_empty_fields","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_phones_category","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_incorrect_card_number","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_registation_existing_user","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_next_button","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_content","",""
"","0","test_invalid_username","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","0","test_homepage","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_authorization_and_registration","",""
"","8","test_site_functionality[edge]","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_cross_browser","",""
"","0","test_filters_monitors","tests","Mon Feb 10 21:42:28 CET 2025","broken","Mon Feb 10 21:42:28 CET 2025","","test_categories_and_products","",""
"","7","test_site_functionality[chrome]","tests","Mon Feb 10 21:42:29 CET 2025","broken","Mon Feb 10 21:42:29 CET 2025","","test_cross_browser","",""
"","0","test_page_load","tests","Mon Feb 10 21:38:54 CET 2025","broken","Mon Feb 10 21:38:54 CET 2025","","perfomance","",""
"","0","test_add_one_item_to_cart","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
"","0","test_add_to_cart","tests","Mon Feb 10 21:42:27 CET 2025","broken","Mon Feb 10 21:42:27 CET 2025","","test_add_items_to_cart_and_order_placement","",""
